Member_number,itemDescription,Date
2553,other vegetables,21-06-2015
4100,sausage,22-04-2015
2580,other vegetables,17-11-2015
4628,fish,10/12/2015
1073,pip fruit,8/6/2015
1459,citrus fruit,18-07-2015
3752,dishes,21-08-2015
4655,meat,21-03-2015
2484,pork,20-06-2015
4990,sausage,15-03-2015
2356,pip fruit,2/2/2015
3476,bottled water,21-04-2015
4643,whole milk,25-01-2015
3287,onions,2/2/2015
3468,liver loaf,14-11-2015
2779,meat,27-12-2015
3811,root vegetables,11/5/2015
3122,citrus fruit,13-10-2015
2874,soda,22-01-2015
3148,bottled beer,28-03-2015
4359,dessert,24-09-2015
4510,bottled beer,26-03-2015
3298,roll products ,28-04-2015
3285,sausage,12/7/2015
4752,yogurt,11/2/2015
4741,chicken,25-02-2015
3557,meat,24-05-2015
4328,citrus fruit,21-07-2015
1052,butter milk,6/7/2015
1719,nuts/prunes,17-09-2015
1360,root vegetables,5/2/2015
1299,bottled beer,3/6/2015
4260,chicken,16-11-2015
1785,butter,15-07-2015
3835,tropical fruit,6/1/2015
1720,root vegetables,5/12/2015
1872,tropical fruit,5/4/2015
1406,sausage,23-03-2015
3560,bottled water,29-09-2015
4628,salty snack,29-11-2015
2692,beef,9/10/2015
4843,whole milk,13-05-2015
4395,ham,25-06-2015
1196,mayonnaise,27-11-2015
1076,frankfurter,14-05-2015
3519,hamburger meat,28-01-2015
1335,whipped/sour cream,18-10-2015
4988,candles,29-10-2015
4437,beverages,20-10-2015
2262,tropical fruit,4/10/2015
4320,yogurt,7/1/2015
1155,whole milk,1/4/2015
3101,sausage,17-12-2015
2433,bottled water,19-10-2015
2051,canned beer,14-11-2015
3144,tropical fruit,16-08-2015
2000,bottled beer,23-08-2015
2427,pork,26-06-2015
2916,salty snack,13-06-2015
1609,rolls/buns,17-12-2015
2982,citrus fruit,25-06-2015
1804,sausage,30-11-2015
4997,tropical fruit,27-12-2015
2789,whole milk,28-01-2015
2512,canned beer,23-04-2015
2641,whole milk,1/3/2015
2102,rolls/buns,10/5/2015
2979,sausage,17-07-2015
3685,tropical fruit,4/3/2015
2918,bottled beer,11/10/2015
4640,domestic eggs,31-01-2015
1149,soda,6/8/2015
4608,whole milk,5/1/2015
3794,tropical fruit,26-11-2015
3014,ham,4/11/2015
2083,brandy,28-03-2015
1656,hard cheese,13-08-2015
1482,bottled beer,24-07-2015
3050,other vegetables,20-10-2015
3882,finished products,23-04-2015
2618,misc. beverages,3/12/2015
4888,canned beer,13-02-2015
2523,yogurt,12/1/2015
4633,bottled water,14-04-2015
2440,tropical fruit,2/3/2015
2100,frankfurter,5/7/2015
3691,yogurt,12/2/2015
4499,bottled beer,6/5/2015
2370,tropical fruit,28-08-2015
3831,UHT-milk,14-10-2015
4744,citrus fruit,28-10-2015
4919,newspapers,12/3/2015
4876,soda,21-02-2015
1296,tropical fruit,20-08-2015
4845,bottled water,28-08-2015
4606,canned beer,13-03-2015
1438,onions,26-02-2015
2777,pastry,24-05-2015
4220,tropical fruit,10/8/2015
1943,hamburger meat,7/1/2015
3535,pip fruit,1/9/2015
2194,soda,9/1/2015
2326,pork,29-11-2015
4189,rolls/buns,7/4/2015
1023,whipped/sour cream,6/1/2015
3886,soda,1/4/2015
1443,butter,9/10/2015
1395,canned beer,26-06-2015
1291,tropical fruit,14-01-2015
1374,whole milk,10/3/2015
4015,yogurt,20-02-2015
3009,sausage,18-02-2015
2961,frankfurter,16-11-2015
3260,meat,8/7/2015
1793,canned beer,19-05-2015
2985,tropical fruit,5/1/2015
1205,yogurt,14-03-2015
1116,newspapers,8/10/2015
1633,condensed milk,9/8/2015
3600,pip fruit,30-07-2015
4740,coffee,10/7/2015
2677,sausage,23-12-2015
1540,whole milk,14-08-2015
4323,frankfurter,26-03-2015
4320,canned beer,18-04-2015
1363,whole milk,16-06-2015
1761,rolls/buns,9/8/2015
1733,pip fruit,23-06-2015
1994,canned beer,5/10/2015
4300,citrus fruit,4/4/2015
4298,butter,25-07-2015
1097,tropical fruit,1/11/2015
3766,citrus fruit,7/5/2015
2348,citrus fruit,28-02-2015
4588,butter,8/11/2015
3784,seasonal products,14-06-2015
2787,brown bread,5/3/2015
2056,newspapers,24-11-2015
3986,tropical fruit,25-07-2015
3861,rolls/buns,7/7/2015
1094,sausage,7/1/2015
4743,sausage,24-01-2015
3543,whole milk,2/6/2015
4914,pip fruit,14-03-2015
2004,yogurt,21-08-2015
4171,yogurt,3/6/2015
3041,sausage,15-09-2015
1324,citrus fruit,10/7/2015
1524,UHT-milk,6/8/2015
4260,sausage,30-05-2015
1494,whole milk,29-09-2015
2521,citrus fruit,3/3/2015
2225,pork,28-04-2015
3486,pip fruit,23-12-2015
1422,canned beer,28-02-2015
3082,canned beer,20-02-2015
1114,dog food,12/3/2015
4773,salty snack,31-10-2015
1939,root vegetables,30-10-2015
2723,meat,3/11/2015
1361,whole milk,8/9/2015
2294,rolls/buns,10/5/2015
3915,pork,5/3/2015
3579,other vegetables,30-12-2015
2051,whole milk,20-04-2015
2113,bottled water,7/9/2015
1909,sausage,31-08-2015
2328,beef,22-02-2015
2948,organic sausage,19-06-2015
3504,frozen meals,20-05-2015
3069,mustard,9/4/2015
2142,yogurt,19-05-2015
4411,meat,17-04-2015
1993,tropical fruit,8/7/2015
4579,pip fruit,9/1/2015
1177,rolls/buns,14-10-2015
2499,root vegetables,24-04-2015
4427,tropical fruit,14-01-2015
2883,whipped/sour cream,12/10/2015
1242,sausage,4/12/2015
3409,frankfurter,11/12/2015
1307,meat,22-06-2015
3507,whole milk,10/11/2015
2606,chicken,26-01-2015
3048,long life bakery product,6/6/2015
2007,cream cheese ,23-11-2015
3072,whole milk,26-01-2015
3354,citrus fruit,14-01-2015
3656,tropical fruit,11/3/2015
4417,sausage,18-05-2015
3296,whole milk,6/6/2015
1323,soups,30-04-2015
1754,citrus fruit,17-09-2015
3872,beef,3/11/2015
3691,canned beer,5/2/2015
1218,tropical fruit,29-12-2015
1381,beverages,23-03-2015
4550,canned beer,2/3/2015
1377,meat,6/2/2015
4388,cream cheese ,19-02-2015
2157,meat,14-07-2015
3321,sausage,25-12-2015
3205,frankfurter,11/12/2015
4444,sausage,22-07-2015
2348,whole milk,1/11/2015
4275,whole milk,18-08-2015
3664,frozen vegetables,4/5/2015
1627,root vegetables,11/2/2015
1641,pip fruit,27-05-2015
1461,bottled water,21-12-2015
4266,soda,17-06-2015
2754,liver loaf,2/5/2015
3117,citrus fruit,30-09-2015
1654,dish cleaner,29-04-2015
1154,citrus fruit,17-05-2015
1333,ham,22-09-2015
2188,hamburger meat,28-07-2015
4679,pork,16-05-2015
2495,nuts/prunes,28-07-2015
4117,canned beer,10/12/2015
4035,sausage,12/1/2015
1500,rolls/buns,6/1/2015
4357,sausage,13-04-2015
1199,rolls/buns,21-11-2015
4467,frozen vegetables,22-11-2015
4220,pip fruit,21-11-2015
4376,whole milk,16-07-2015
4190,frankfurter,24-12-2015
4501,other vegetables,15-06-2015
1454,white bread,22-10-2015
3922,citrus fruit,1/4/2015
3586,whole milk,2/5/2015
2139,frankfurter,16-04-2015
2475,beverages,10/11/2015
3419,red/blush wine,5/12/2015
2518,soda,3/7/2015
1690,sausage,3/3/2015
1281,finished products,2/6/2015
2176,pastry,4/2/2015
2787,specialty chocolate,13-03-2015
3460,tropical fruit,14-02-2015
3224,bottled beer,19-01-2015
1540,skin care,26-11-2015
3942,condensed milk,4/4/2015
2939,root vegetables,3/8/2015
3807,pip fruit,26-10-2015
3380,root vegetables,16-05-2015
1785,sausage,7/6/2015
2625,bottled beer,6/3/2015
1828,brown bread,24-03-2015
4225,hard cheese,8/5/2015
1646,soda,28-08-2015
1412,soda,16-11-2015
1892,whole milk,24-04-2015
2535,frankfurter,10/11/2015
4107,tropical fruit,15-11-2015
1452,liver loaf,29-03-2015
4853,yogurt,17-09-2015
2196,soda,23-08-2015
1026,root vegetables,28-05-2015
3879,hamburger meat,3/12/2015
4967,pip fruit,23-09-2015
3408,bottled beer,5/11/2015
3732,pip fruit,26-01-2015
1040,tropical fruit,26-11-2015
2612,dessert,31-05-2015
1137,whole milk,26-09-2015
4223,liver loaf,15-06-2015
3832,frankfurter,17-07-2015
2179,dessert,16-04-2015
2604,root vegetables,12/2/2015
2238,cream cheese ,20-03-2015
2589,canned beer,12/2/2015
2402,whole milk,6/9/2015
4130,rolls/buns,6/11/2015
4841,canned beer,17-12-2015
1734,sausage,8/6/2015
3748,canned beer,27-03-2015
1021,liquor,22-10-2015
1104,yogurt,4/1/2015
2613,soups,9/1/2015
4204,whole milk,16-10-2015
2022,sausage,22-07-2015
2242,rolls/buns,5/6/2015
4352,pork,20-07-2015
1945,curd,5/2/2015
1427,rolls/buns,26-11-2015
3709,frankfurter,8/9/2015
1349,bottled water,13-04-2015
4691,soda,8/1/2015
1465,meat,26-06-2015
2867,turkey,16-07-2015
2381,coffee,17-05-2015
2471,rolls/buns,13-08-2015
3252,citrus fruit,22-08-2015
4077,canned beer,18-03-2015
2359,pastry,21-04-2015
4430,frozen meals,2/12/2015
3456,whipped/sour cream,10/9/2015
2563,rolls/buns,3/6/2015
2386,soda,4/10/2015
4909,spread cheese,26-10-2015
1014,whole milk,3/10/2015
1389,root vegetables,18-02-2015
4800,frankfurter,24-12-2015
1069,bottled beer,20-08-2015
1833,soda,12/7/2015
4028,other vegetables,8/7/2015
3919,curd,9/2/2015
3086,pip fruit,2/1/2015
2708,instant coffee,17-02-2015
3513,frankfurter,29-08-2015
3774,beef,16-09-2015
4827,curd,27-01-2015
4213,hamburger meat,23-08-2015
4536,citrus fruit,24-02-2015
1489,rolls/buns,23-06-2015
2005,bottled beer,22-09-2015
2429,pork,29-06-2015
2721,cream cheese ,10/8/2015
3909,tropical fruit,9/2/2015
4808,beverages,20-08-2015
4024,pork,16-10-2015
2855,sausage,3/2/2015
4881,yogurt,28-07-2015
1214,meat,10/1/2015
1608,tropical fruit,10/11/2015
1724,hamburger meat,9/9/2015
1911,root vegetables,2/6/2015
3881,chicken,2/4/2015
1780,dessert,27-08-2015
4675,coffee,14-09-2015
3497,pip fruit,24-09-2015
1000,sausage,15-03-2015
3955,sausage,28-08-2015
4232,whole milk,19-12-2015
3472,citrus fruit,28-02-2015
4217,bottled water,5/2/2015
3778,pastry,1/10/2015
2666,sausage,6/4/2015
3518,sausage,18-05-2015
4525,whole milk,28-09-2015
2975,liver loaf,28-01-2015
1339,bottled water,28-11-2015
2001,beef,28-01-2015
2091,pet care,19-10-2015
2453,meat,28-08-2015
4681,cookware,28-02-2015
2618,bottled beer,14-09-2015
3389,whole milk,26-01-2015
3044,frozen meals,29-09-2015
3039,dessert,2/9/2015
4563,grapes,14-05-2015
2683,rolls/buns,11/8/2015
4063,sausage,12/11/2015
3014,sausage,19-10-2015
4356,butter,1/12/2015
3050,chicken,6/5/2015
3613,whole milk,5/6/2015
3152,rolls/buns,24-11-2015
4187,rolls/buns,28-10-2015
2001,citrus fruit,3/3/2015
1584,rolls/buns,26-01-2015
1475,pasta,28-03-2015
4942,sausage,6/8/2015
2083,tropical fruit,7/11/2015
4685,waffles,27-08-2015
2070,citrus fruit,24-03-2015
2657,pasta,1/4/2015
4012,semi-finished bread,4/4/2015
2698,beef,24-01-2015
2222,whole milk,28-12-2015
2421,candy,27-10-2015
2410,bottled water,21-11-2015
2728,whole milk,28-11-2015
4810,bottled beer,17-03-2015
1391,yogurt,1/8/2015
2167,whole milk,8/12/2015
3048,sausage,20-08-2015
3876,other vegetables,3/10/2015
3937,tropical fruit,19-11-2015
1167,coffee,16-02-2015
4031,root vegetables,14-01-2015
2946,frankfurter,24-05-2015
2672,ham,9/3/2015
3529,pip fruit,5/3/2015
3986,yogurt,18-11-2015
3312,meat,29-07-2015
2392,soda,15-12-2015
1756,pork,3/3/2015
2875,whole milk,1/11/2015
3871,bottled beer,31-07-2015
4512,bottled water,21-12-2015
2426,specialty bar,26-08-2015
3728,berries,4/10/2015
1093,dessert,28-03-2015
3322,ham,25-04-2015
1386,pork,31-07-2015
3429,cat food,10/5/2015
1932,whole milk,7/9/2015
1865,margarine,3/12/2015
4672,whole milk,13-02-2015
4432,whole milk,28-05-2015
2129,other vegetables,11/8/2015
1104,domestic eggs,18-03-2015
3529,canned beer,13-09-2015
3271,sausage,27-12-2015
1002,butter milk,30-08-2015
2184,ham,9/6/2015
4648,whole milk,8/10/2015
3595,other vegetables,15-10-2015
2752,sausage,10/10/2015
4101,bottled beer,30-04-2015
1793,misc. beverages,4/12/2015
4224,brown bread,4/10/2015
2846,whipped/sour cream,15-08-2015
1697,tropical fruit,23-02-2015
3884,citrus fruit,7/4/2015
2669,pip fruit,24-09-2015
4843,waffles,25-02-2015
1663,tropical fruit,11/11/2015
4169,frankfurter,19-03-2015
2799,sausage,25-05-2015
2178,frankfurter,20-12-2015
3312,curd,24-12-2015
3609,meat,11/7/2015
1004,other vegetables,2/12/2015
2401,whole milk,15-01-2015
4165,domestic eggs,10/2/2015
2017,pip fruit,14-02-2015
2485,other vegetables,18-05-2015
2261,sausage,18-06-2015
1437,salty snack,15-08-2015
4065,margarine,11/5/2015
1904,whole milk,18-04-2015
4573,frankfurter,28-05-2015
4233,whole milk,16-06-2015
3928,whole milk,26-09-2015
4916,brown bread,25-01-2015
2883,oil,16-04-2015
2938,liquor (appetizer),25-06-2015
1063,rolls/buns,23-01-2015
3365,bottled water,28-06-2015
2795,citrus fruit,6/5/2015
1336,citrus fruit,4/4/2015
2937,whole milk,31-07-2015
3391,frankfurter,21-12-2015
3719,soda,4/6/2015
3986,meat,26-05-2015
2757,sausage,15-02-2015
1783,sausage,7/7/2015
4234,chocolate,2/8/2015
3484,canned beer,5/8/2015
3337,bottled beer,10/1/2015
2472,liver loaf,17-01-2015
1355,pastry,25-02-2015
3072,beef,8/6/2015
1817,canned beer,21-08-2015
2063,newspapers,10/9/2015
4216,sausage,28-04-2015
2984,citrus fruit,24-02-2015
3365,canned beer,25-10-2015
2260,frankfurter,27-06-2015
4798,rolls/buns,24-08-2015
4952,canned beer,22-10-2015
4778,frankfurter,24-01-2015
1517,frankfurter,1/3/2015
2433,soda,31-07-2015
3938,meat,31-07-2015
2569,white wine,30-06-2015
2092,sausage,24-05-2015
3174,brown bread,9/2/2015
4513,frozen fruits,4/11/2015
2467,hard cheese,4/2/2015
3508,dessert,25-07-2015
1939,coffee,2/7/2015
1636,other vegetables,4/5/2015
2443,frankfurter,12/1/2015
4911,pork,7/1/2015
3835,yogurt,16-09-2015
2363,beef,22-05-2015
2344,ham,19-04-2015
3911,frankfurter,15-02-2015
1450,hamburger meat,8/7/2015
3495,white wine,18-11-2015
1625,packaged fruit/vegetables,27-11-2015
3265,specialty bar,9/12/2015
3247,cat food,1/11/2015
1777,finished products,8/7/2015
1862,pork,5/9/2015
2942,pork,1/2/2015
2932,root vegetables,22-01-2015
4049,tropical fruit,1/8/2015
1954,pork,6/8/2015
2321,bottled beer,16-06-2015
2930,whole milk,23-03-2015
3214,butter milk,27-03-2015
4877,sausage,20-06-2015
1277,whole milk,7/6/2015
2239,whole milk,13-12-2015
4929,misc. beverages,26-03-2015
1390,waffles,2/3/2015
1870,hamburger meat,9/9/2015
3405,white wine,3/4/2015
2338,canned beer,8/12/2015
2051,frankfurter,11/9/2015
3504,root vegetables,6/7/2015
3405,ice cream,13-04-2015
2512,processed cheese,2/9/2015
4038,tropical fruit,6/11/2015
1759,ham,26-09-2015
2813,sausage,1/10/2015
3055,other vegetables,18-08-2015
1733,coffee,18-03-2015
1913,pip fruit,18-08-2015
4864,whole milk,27-03-2015
4812,soda,27-05-2015
3042,whole milk,5/10/2015
4988,beverages,4/10/2015
4486,hygiene articles,21-07-2015
4069,pork,3/5/2015
4600,salty snack,14-07-2015
3588,pip fruit,5/5/2015
4175,dessert,29-01-2015
2599,white wine,30-07-2015
4671,instant coffee,15-07-2015
2270,pastry,9/6/2015
2494,canned beer,5/5/2015
1406,sausage,28-12-2015
3910,rolls/buns,18-12-2015
3358,dog food,21-02-2015
1943,chicken,14-01-2015
1995,soda,12/6/2015
4666,instant coffee,24-02-2015
1994,whole milk,11/3/2015
4892,citrus fruit,9/1/2015
3531,liver loaf,29-08-2015
1148,sausage,15-04-2015
1787,finished products,31-10-2015
4215,canned beer,31-05-2015
2158,ham,1/8/2015
2510,soda,29-09-2015
3180,pastry,19-10-2015
3207,tropical fruit,8/8/2015
1226,citrus fruit,12/11/2015
1682,pip fruit,25-06-2015
1509,yogurt,4/11/2015
2364,root vegetables,21-06-2015
4679,waffles,10/11/2015
4324,sausage,5/1/2015
3497,soda,14-06-2015
1008,soda,21-07-2015
4572,whole milk,29-10-2015
4030,sausage,4/7/2015
2422,sausage,12/8/2015
2694,whole milk,24-11-2015
3481,pork,3/8/2015
3821,whole milk,3/1/2015
3752,whole milk,20-08-2015
3262,rolls/buns,8/12/2015
1370,whole milk,28-06-2015
1090,whisky,31-08-2015
3862,newspapers,18-11-2015
4495,rubbing alcohol,8/4/2015
2492,ham,1/11/2015
4688,sausage,1/8/2015
3633,bottled beer,14-07-2015
3709,pork,8/8/2015
1220,specialty chocolate,9/2/2015
4236,frankfurter,25-11-2015
3308,nut snack,19-08-2015
1183,bottled beer,12/6/2015
1999,misc. beverages,24-08-2015
4828,pork,11/10/2015
3608,whole milk,12/10/2015
3983,chocolate,9/9/2015
3460,root vegetables,24-07-2015
1703,waffles,21-02-2015
3002,citrus fruit,13-08-2015
4836,pork,17-08-2015
1561,dish cleaner,5/6/2015
4731,rolls/buns,4/4/2015
3812,rolls/buns,13-11-2015
2097,chicken,1/10/2015
4986,pork,28-01-2015
4742,beverages,15-11-2015
2502,soda,15-04-2015
1135,sausage,10/7/2015
2403,frankfurter,14-02-2015
4234,whole milk,17-07-2015
4068,bottled beer,11/12/2015
2311,chocolate,30-06-2015
1353,meat,21-01-2015
3251,beef,5/7/2015
1748,pip fruit,8/3/2015
1638,whole milk,12/3/2015
2170,bottled beer,10/2/2015
3903,other vegetables,6/2/2015
1245,soda,27-06-2015
3237,UHT-milk,28-06-2015
2843,pip fruit,12/10/2015
3095,citrus fruit,13-10-2015
4076,meat,22-05-2015
1298,chicken,23-06-2015
4591,zwieback,13-06-2015
3592,other vegetables,28-10-2015
1305,sausage,23-05-2015
4326,packaged fruit/vegetables,6/11/2015
3189,yogurt,3/2/2015
1991,pork,10/2/2015
2091,ice cream,2/8/2015
3100,beef,6/3/2015
4984,bottled beer,26-04-2015
4444,soda,6/10/2015
4678,meat,17-12-2015
1670,fish,22-11-2015
3214,tropical fruit,14-01-2015
2772,tropical fruit,18-03-2015
4343,frozen vegetables,21-12-2015
4351,other vegetables,21-08-2015
1598,root vegetables,2/3/2015
4469,fish,18-10-2015
1788,UHT-milk,5/12/2015
3768,berries,1/8/2015
4661,condensed milk,1/3/2015
3801,salt,17-08-2015
4109,canned beer,4/10/2015
2485,pip fruit,24-03-2015
2365,sausage,11/6/2015
2602,sausage,8/2/2015
2391,frozen meals,5/12/2015
3483,berries,8/9/2015
2512,liquor,31-01-2015
2652,yogurt,1/8/2015
1777,yogurt,3/12/2015
4007,citrus fruit,23-12-2015
2653,brown bread,17-04-2015
2703,ham,21-09-2015
4322,domestic eggs,14-11-2015
2270,tropical fruit,4/2/2015
2306,rolls/buns,9/10/2015
1539,pip fruit,27-09-2015
2517,tropical fruit,12/12/2015
3254,photo/film,19-10-2015
1711,bottled beer,21-03-2015
2560,whole milk,7/6/2015
4891,chicken,6/10/2015
1622,canned beer,12/2/2015
1028,onions,2/6/2015
1416,other vegetables,22-08-2015
1037,frankfurter,16-12-2015
4293,other vegetables,23-04-2015
3054,white wine,9/4/2015
4467,other vegetables,23-04-2015
4811,canned beer,2/11/2015
4749,tropical fruit,15-02-2015
1825,fruit/vegetable juice,21-11-2015
4685,berries,19-07-2015
3621,other vegetables,14-07-2015
3219,other vegetables,4/8/2015
1444,meat,29-12-2015
1698,other vegetables,22-07-2015
3328,ham,15-04-2015
3704,chocolate,30-04-2015
4124,frankfurter,9/9/2015
4357,processed cheese,10/10/2015
2073,rolls/buns,30-04-2015
4192,chewing gum,12/9/2015
3890,root vegetables,26-10-2015
3147,tropical fruit,24-12-2015
4550,detergent,30-01-2015
3183,tropical fruit,7/8/2015
1878,sausage,17-10-2015
2523,soda,12/2/2015
2227,semi-finished bread,20-06-2015
2267,frankfurter,26-02-2015
4806,sausage,27-10-2015
2422,citrus fruit,11/11/2015
1164,whole milk,30-03-2015
3096,misc. beverages,23-06-2015
1821,tropical fruit,21-05-2015
2298,beef,6/10/2015
4515,other vegetables,10/5/2015
3079,frankfurter,10/3/2015
3352,sausage,13-06-2015
1545,whole milk,17-10-2015
2999,sausage,3/8/2015
1230,frankfurter,19-11-2015
2578,bottled beer,25-01-2015
4611,cereals,27-08-2015
3575,chocolate marshmallow,24-01-2015
2517,other vegetables,29-09-2015
2471,meat,19-03-2015
2560,cocoa drinks,19-06-2015
4492,sausage,14-06-2015
1217,whole milk,18-02-2015
2950,coffee,10/10/2015
4337,tropical fruit,26-10-2015
2599,sausage,27-01-2015
2924,rolls/buns,19-11-2015
3734,ice cream,5/9/2015
3985,liver loaf,24-07-2015
1823,frankfurter,11/11/2015
1722,chewing gum,27-08-2015
3818,soda,29-03-2015
4924,butter,11/6/2015
3194,chicken,3/5/2015
2156,sausage,7/8/2015
3182,soda,5/5/2015
2902,cat food,16-08-2015
3450,pip fruit,24-12-2015
4262,soft cheese,11/9/2015
1276,whole milk,28-08-2015
2184,soda,23-01-2015
1670,chicken,30-06-2015
1198,other vegetables,31-01-2015
1858,pastry,25-01-2015
1404,ice cream,16-01-2015
2899,sausage,9/11/2015
2057,citrus fruit,13-11-2015
2799,chocolate,27-02-2015
4913,beverages,1/8/2015
2413,bottled water,26-06-2015
4819,sausage,20-09-2015
3014,whipped/sour cream,15-07-2015
1419,root vegetables,7/4/2015
2589,ice cream,29-04-2015
3648,meat,2/6/2015
1349,frankfurter,13-12-2015
2706,tropical fruit,3/10/2015
1144,chicken,16-01-2015
1275,root vegetables,7/5/2015
1851,other vegetables,11/7/2015
2305,coffee,28-09-2015
1905,soda,18-10-2015
3732,chicken,6/12/2015
2724,ice cream,30-04-2015
3245,hamburger meat,19-03-2015
2005,pork,20-04-2015
4643,ice cream,10/8/2015
2538,other vegetables,27-07-2015
1173,bottled beer,7/2/2015
1703,misc. beverages,15-02-2015
3347,beef,24-01-2015
1561,whole milk,25-07-2015
1632,chicken,27-08-2015
2995,dessert,18-02-2015
1318,pastry,26-09-2015
1133,sausage,26-02-2015
2357,onions,3/8/2015
4007,tropical fruit,13-03-2015
2383,flower soil/fertilizer,2/1/2015
3128,ice cream,30-08-2015
1372,soda,25-04-2015
1839,pastry,16-08-2015
3567,pip fruit,17-02-2015
3573,meat,3/4/2015
3765,whole milk,12/6/2015
2875,zwieback,12/3/2015
3737,liquor (appetizer),21-11-2015
3535,pip fruit,28-02-2015
4288,canned beer,13-11-2015
1334,Instant food products,7/3/2015
2046,pork,28-02-2015
1922,butter milk,7/10/2015
2184,oil,19-09-2015
2632,meat,23-09-2015
2108,tropical fruit,1/10/2015
2547,soda,24-11-2015
4720,soda,12/2/2015
4008,meat,19-05-2015
1438,frankfurter,28-11-2015
3027,whipped/sour cream,14-09-2015
1342,tropical fruit,7/1/2015
4952,sausage,26-08-2015
1218,tropical fruit,20-08-2015
4804,pork,19-11-2015
3319,bottled beer,17-11-2015
2459,whole milk,22-09-2015
1123,frozen vegetables,31-01-2015
1827,whole milk,1/7/2015
4769,sausage,20-09-2015
3769,pork,27-02-2015
4713,beef,28-01-2015
1741,sausage,20-12-2015
4238,tropical fruit,12/12/2015
4051,whole milk,28-01-2015
4960,bottled water,19-08-2015
4602,beef,26-08-2015
3549,brown bread,12/2/2015
2746,bottled beer,29-05-2015
2444,sausage,17-06-2015
3196,pip fruit,4/11/2015
4672,frankfurter,5/11/2015
3308,UHT-milk,8/3/2015
3328,whole milk,16-08-2015
4923,butter milk,23-09-2015
2981,whole milk,11/5/2015
3615,herbs,2/9/2015
1620,tropical fruit,22-03-2015
2583,chicken,15-02-2015
1362,curd,6/10/2015
2462,pork,8/1/2015
3198,hamburger meat,23-06-2015
3296,hamburger meat,22-05-2015
3447,root vegetables,3/9/2015
4001,butter,30-03-2015
2082,UHT-milk,21-06-2015
1679,whole milk,8/12/2015
3605,sausage,5/4/2015
3762,canned beer,4/1/2015
2375,whole milk,3/9/2015
1617,oil,30-03-2015
3399,sausage,9/4/2015
1570,frankfurter,15-03-2015
1583,sliced cheese,24-03-2015
3348,sausage,5/12/2015
1427,chicken,10/1/2015
3041,butter milk,27-08-2015
1661,pip fruit,8/11/2015
1076,sausage,12/6/2015
3545,butter,29-09-2015
3593,pork,10/9/2015
3891,cat food,16-02-2015
2115,hamburger meat,18-11-2015
2480,tropical fruit,26-03-2015
1532,whole milk,20-06-2015
2530,softener,13-06-2015
1803,rolls/buns,12/5/2015
2604,tropical fruit,20-09-2015
3595,dessert,21-03-2015
1442,newspapers,30-03-2015
1515,hamburger meat,9/11/2015
2899,chicken,24-11-2015
1845,other vegetables,7/8/2015
4334,fruit/vegetable juice,28-04-2015
3885,chocolate,13-04-2015
1474,margarine,2/6/2015
4783,cling film/bags,21-02-2015
1379,chicken,6/2/2015
4217,salt,17-06-2015
4281,newspapers,14-09-2015
2690,root vegetables,1/5/2015
2543,pip fruit,23-05-2015
2300,sausage,28-04-2015
4302,other vegetables,5/4/2015
1930,tropical fruit,15-11-2015
2834,newspapers,2/12/2015
2307,frankfurter,26-05-2015
3894,fruit/vegetable juice,25-01-2015
1467,ham,20-08-2015
3952,sausage,30-10-2015
3016,frankfurter,1/12/2015
2118,fish,18-07-2015
1940,chewing gum,14-02-2015
1430,citrus fruit,4/9/2015
2738,canned beer,11/4/2015
1565,canned beer,30-11-2015
4755,canned beer,27-12-2015
1410,UHT-milk,8/11/2015
3829,citrus fruit,2/8/2015
3086,whole milk,4/4/2015
4780,citrus fruit,9/6/2015
4085,canned beer,29-09-2015
3236,dessert,26-01-2015
2040,ham,31-05-2015
2370,meat,4/2/2015
4249,pip fruit,27-02-2015
2836,UHT-milk,14-08-2015
1220,canned beer,1/1/2015
3520,other vegetables,2/1/2015
2566,whole milk,31-01-2015
2655,sausage,5/1/2015
4147,canned beer,18-04-2015
3364,yogurt,30-08-2015
2370,root vegetables,14-01-2015
3809,bottled beer,8/2/2015
3744,canned beer,6/11/2015
1588,pork,19-01-2015
4304,canned beer,1/2/2015
2240,pip fruit,20-09-2015
3175,meat,5/6/2015
1231,pork,27-10-2015
3599,other vegetables,11/6/2015
3738,whole milk,1/4/2015
1593,sausage,8/8/2015
1319,misc. beverages,10/1/2015
2105,bottled water,21-01-2015
2056,beef,3/7/2015
3139,tropical fruit,21-04-2015
1098,rolls/buns,19-01-2015
2601,canned beer,22-10-2015
2694,sausage,19-06-2015
4524,sliced cheese,26-12-2015
1165,pork,13-04-2015
3705,soda,7/9/2015
1634,rolls/buns,28-05-2015
2030,soda,4/9/2015
4989,chocolate,19-06-2015
1715,ham,4/7/2015
4552,other vegetables,13-08-2015
1303,canned beer,29-03-2015
1430,canned beer,9/2/2015
4559,canned beer,12/5/2015
3848,tropical fruit,18-11-2015
2162,tropical fruit,19-06-2015
3719,canned beer,17-12-2015
3153,canned beer,28-04-2015
4462,bottled water,2/4/2015
2420,frankfurter,27-09-2015
3971,tropical fruit,17-06-2015
1611,liver loaf,26-02-2015
1225,shopping bags,26-02-2015
1554,tropical fruit,21-05-2015
4624,frankfurter,27-11-2015
3337,citrus fruit,10/6/2015
2265,whole milk,25-09-2015
4999,tropical fruit,24-01-2015
4102,beef,3/11/2015
3853,fruit/vegetable juice,4/7/2015
2265,frankfurter,13-06-2015
